Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
SSL,SSL,4852023296.0,10.577465,2.56314,0.023944344,0.25327046060796,8.37,2.21,-48.11,29.917117100719132,-0.002287864379300588,0.036650141317070624,-33.36291105730745,ZAR,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
STG,STG,116636152.0,1.3219285,-20.238096,0.42102137,0.556560148112045,,1.088,117.98,218.57844901023694,-0.008255693721617191,0.05507253207321803,35.78274263926463,CNY,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
GV,GV,25825284.0,7.141429,,1.2312808,8.7931044122632,,1.753,,8.764878071265409,-0.02866721970037132,0.10285461149411866,257.1428556223305,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
DOLE,DOLE,1217941632.0,6.320197,9.230216,0.93451816,5.90633887127752,2.4899999999999998,0.858,-2.82,27.13121710736923,0.0021217517114543102,0.020163022297507768,11.66231661689134,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
GNLN,GNLN,2131113.0,0.005004384,-0.10357531,0.12761627,0.0006386408197276799,,1.687,-93.82,-67.52110435429657,-0.11637153264113939,0.06553403929839957,7.129453685960232,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
IMKTA,IMKTA,1442054784.0,8.189859,16.153193,0.9453368,7.7421750995112,0.8699999999999999,0.62,-16.48,23.96471367849423,0.046129865702095305,0.02246620428211511,-6.560002253605769,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
RLX,RLX,3204411648.0,34.0,17.0,0.16619144,5.65050896,1.8599999999999999,0.915,26.26,-2.884135212688924,-0.031691233150425525,0.06112462445533362,-7.272731016490004,CNY,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Consumer Defensive
UVV,UVV,1328672896.0,10.163533,,0.9370884,9.5241288773172,5.92,0.77,-8.0,19.1846904418333,0.027320178679828888,0.018164184774778148,-2.047103355972962,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
DTCK,DTCK,24990612.0,4.6363635,,2.562814,11.882137286889,,,,20.106436055213702,-0.03453863819452731,0.09920457681508034,-9.734514581353325,USD,Undervalued,Overvalued,Undervalued,Undervalued,Fair Value,Overvalued,Consumer Defensive
ADM,ADM,30467270656.0,10.753926,11.163043,1.332238,14.326788866388,3.25,0.78,-22.56,18.722029371788494,0.02591808150457191,0.01675523316676871,-17.099424977896003,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
ANDE,ANDE,1752543232.0,14.539549,14.297223,1.359231,19.762605726819,1.48,0.698,-2.59,27.68136852550357,0.02324215567115942,0.027024547207282597,-0.6562442454656386,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
EPC,EPC,2001002624.0,16.755186,12.738171,1.2920773,21.648995487877798,1.49,0.957,0.54,21.642323920804934,-0.0026654124975766954,0.02173549569405707,16.20144192263377,USD,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Consumer Defensive
AGRO,AGRO,1074673152.0,4.8909955,9.46789,0.7862857,3.8457198204143497,3.2300000000000004,,-9.25,32.20453915296047,0.0187951603036997,0.023787240648086103,-8.753321733528566,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
KOF,KOF,20523010048.0,96.72278,13.643855,0.1721622,16.652006594916,2.5999999,0.869,27.26,34.11934948238536,0.014395768250206832,0.01604668148602838,14.391101517490117,MXN,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Consumer Defensive
WILC,WILC,130211136.0,15.145162,,1.0302831,15.603804455362198,10.4399994,0.822,-27.31,4.508225664798501,0.02858384284510589,0.025508515744722737,2.1762869648696044,ILS,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
VLGEA,VLGEA,452812480.0,8.701704,,1.05577,9.18699803208,3.26,0.287,7.82,24.695367241555857,0.03236880259132182,0.018067033024644817,24.867502255888734,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
LND,LND,494335936.0,9.5,,0.24902959,2.365781105,12.86,0.444,-14.55,8.440965581651072,0.030349140191220182,0.03045467043351738,0.40650367106455254,BRL,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
BRID,BRID,93945192.0,24.642859,,0.71840084,17.703450605601564,,-0.596,1.25,8.633959933608677,0.02550451975461518,0.034782445214260826,-1.8026525718307227,USD,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Consumer Defensive
TAP-A,TAP-A,11978242048.0,12.345308,,1.0003396,12.3495004665968,2.8499998,0.879,5.0,18.47074919672628,0.013409971503407518,0.028713430794570984,-3.359377384185791,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
CHGG,CHGG,447710464.0,33.69231,4.0555553,0.4617331,15.556854742461,,1.35,-59.99,8.303779940674431,0.01957998477567068,0.035969282164629655,-57.59922413562302,USD,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Consumer Defensive
BON,BON,3526491.0,0.506,4.362069,0.083694465,0.04234939929,,-1.102,-55.67,19.369382571371986,-0.058946213872784786,0.06569478328763034,-39.76190270750421,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
VTRU,VTRU,327380672.0,16.827587,5.0051284,0.14450054,2.4315954083969804,,0.004,-12.98,24.664903523776342,-0.002397444791817752,0.0312727142909441,-17.42808391817829,BRL,Fair Value,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Consumer Defensive
NAPA,NAPA,1201977344.0,14.350878,12.208956,0.9670175,13.877550166365,,0.284,-37.28,14.36529996857189,-0.044488980963729365,0.024008632645182326,-21.118607565589482,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
BG,BG,14597028864.0,8.313709,10.497963,1.3833498,11.500767682408199,2.6400002,0.648,-11.55,31.36116545940466,0.026254204951693803,0.01923755999814232,-5.888264126098274,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
QSG,QSG,150814160.0,5.44898,6.3571434,0.4181676,2.278586889048,,,,78.24030612701053,-0.01585800221347206,0.09724995073800491,24.186044551669962,CNY,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
ALCO,ALCO,207987632.0,5.206107,-73.72973,0.7649814,3.9825750214098004,0.73,0.879,-23.17,-2.155589388997963,0.007888652702099881,0.020608754861954286,-0.0366442966154173,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
AKO-A,AKO-A,2660335616.0,9.425252,,1.7370857,16.3724704680964,6.140000000000001,0.392,16.6,51.751388646851694,0.015584441180520337,0.024426521222407908,14.912287893204535,CLP,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Consumer Defensive
ABEV,ABEV,38115487744.0,13.444445,12.1,0.44008002,5.9166316244889,6.239999999999999,0.526,-15.16,29.429507375651042,-0.006903581713258504,0.021787394877754565,-12.318837512468384,BRL,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
SANW,SANW,16459700.0,1.2666667,-1.7272727,0.28985506,0.367149752328502,,0.945,-40.8,-16.91299095691766,-0.015309954931727043,0.03877939356344729,-42.4242454345779,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Consumer Defensive
SENEA,SENEA,445458848.0,8.121252,,0.74752784,6.070861965655681,,0.341,7.93,20.28391167192429,0.03466298917614526,0.025509802880267135,30.861350656119935,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Consumer Defensive
PRDO,PRDO,1541661056.0,10.352423,10.042735,1.7800333,18.4276576756859,1.87,0.921,42.86,21.803473885248884,0.05793330788535162,0.028363664697495482,35.368658835111034,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Consumer Defensive
